Evolution Line,Clonal Isolate,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236
UA3.152.02,D03,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D01,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D01,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D01,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D01,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D01,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D02,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D02,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D02,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D02,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D02,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D03,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D03,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA3.152.09,D03,0,0.34,0.67,1.01,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.34,7.67,8.01,8.34,8.67,9.01,9.34,9.67,10.01,11.01,11.67,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.67,17.01,17.68,18.34,18.68,19.01,19.34,19.68,20.01,20.34,20.68,21.34,22.01,22.68,23.01,23.68,24.01,24.34,24.68,25.01,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
