Evolution Line,Clonal Isolate,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167
HA2.152.01,D03/M03,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,D03/M03,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,D03/M03,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,D03/M03,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.01,EPD,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152,1000gen,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152,1000gen,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152,1000gen,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152,1000gen,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152,1000gen,0.00,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.34,3.67,4.01,4.34,5.01,5.34,5.67,6.01,6.34,7.34,7.67,8.01,8.34,8.67,9.67,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,16.01,16.34,16.67,17.01,17.34,17.67,18.01,18.34,18.68,19.01,19.34,19.68,20.01,20.34,21.01,21.34,21.68,22.01,22.34,23.68,24.01,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.34,30.68,31.01,31.34,31.68,32.01,32.34,32.68,33.01,33.34,33.68,34.01,35.01,35.34,35.68,36.34,37.01,37.34,37.68,38.01,38.34,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,41.68,42.01,42.68,43.01,43.34,43.68,44.01,44.34,45.01,45.68,46.01,46.34,46.68,47.01,47.34,47.68,48.01,48.34,48.68,49.01,49.34,50.01,50.34,50.68,51.01,51.34,52.01,52.68,53.01,53.34,53.68,54.01,54.34,54.68,55.01,55.34,56.01,56.34,56.68,57.01,57.34,57.68,58.01,58.68,59.01,59.34,60.01,60.68,61.01,61.34,61.68,62.01,62.34,62.68,63.34,63.68,64.01,64.34,64.68,65.01,65.68
HA2.152.09,D01/M01,0.00,0.34,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.01,7.34,7.67,8.01,8.34,9.01,9.34,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.34,17.67,18.01,18.34,18.67,19.01,19.34,19.67,20.01,20.34,20.67,21.01,21.34,21.67,22.34,22.67,23.01,23.34,24.01,24.34,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.01,30.34,30.68,31.34,31.68,32.01,33.01,33.34,33.68,34.34,34.68,35.01,35.34,35.68,36.01,36.34,36.68,37.01,37.34,37.68,38.01,38.34,38.68,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,42.01,42.34,42.68,43.68,44.01,44.34,44.68,45.01,45.34,46.01,46.34,46.68,47.01,47.34,48.01,48.34,48.68,49.01,49.34,49.68,50.01,50.34,51.01,51.34,51.68,52.01,52.34,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA2.152.09,D01/M01,0.00,0.34,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.01,7.34,7.67,8.01,8.34,9.01,9.34,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.34,17.67,18.01,18.34,18.67,19.01,19.34,19.67,20.01,20.34,20.67,21.01,21.34,21.67,22.34,22.67,23.01,23.34,24.01,24.34,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.01,30.34,30.68,31.34,31.68,32.01,33.01,33.34,33.68,34.34,34.68,35.01,35.34,35.68,36.01,36.34,36.68,37.01,37.34,37.68,38.01,38.34,38.68,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,42.01,42.34,42.68,43.68,44.01,44.34,44.68,45.01,45.34,46.01,46.34,46.68,47.01,47.34,48.01,48.34,48.68,49.01,49.34,49.68,50.01,50.34,51.01,51.34,51.68,52.01,52.34,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA2.152.09,D01/M01,0.00,0.34,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.01,7.34,7.67,8.01,8.34,9.01,9.34,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.34,17.67,18.01,18.34,18.67,19.01,19.34,19.67,20.01,20.34,20.67,21.01,21.34,21.67,22.34,22.67,23.01,23.34,24.01,24.34,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.01,30.34,30.68,31.34,31.68,32.01,33.01,33.34,33.68,34.34,34.68,35.01,35.34,35.68,36.01,36.34,36.68,37.01,37.34,37.68,38.01,38.34,38.68,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,42.01,42.34,42.68,43.68,44.01,44.34,44.68,45.01,45.34,46.01,46.34,46.68,47.01,47.34,48.01,48.34,48.68,49.01,49.34,49.68,50.01,50.34,51.01,51.34,51.68,52.01,52.34,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA2.152.09,D01/M01,0.00,0.34,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.01,7.34,7.67,8.01,8.34,9.01,9.34,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.34,17.67,18.01,18.34,18.67,19.01,19.34,19.67,20.01,20.34,20.67,21.01,21.34,21.67,22.34,22.67,23.01,23.34,24.01,24.34,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.01,30.34,30.68,31.34,31.68,32.01,33.01,33.34,33.68,34.34,34.68,35.01,35.34,35.68,36.01,36.34,36.68,37.01,37.34,37.68,38.01,38.34,38.68,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,42.01,42.34,42.68,43.68,44.01,44.34,44.68,45.01,45.34,46.01,46.34,46.68,47.01,47.34,48.01,48.34,48.68,49.01,49.34,49.68,50.01,50.34,51.01,51.34,51.68,52.01,52.34,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA2.152.09,D01/M01,0.00,0.34,0.67,1.34,1.67,2.01,2.34,2.67,3.01,3.67,4.01,4.34,4.67,5.01,5.34,5.67,6.01,6.34,6.67,7.01,7.34,7.67,8.01,8.34,9.01,9.34,10.01,10.34,10.67,11.01,11.34,11.67,12.01,12.34,12.67,13.01,13.34,13.67,14.01,14.34,14.67,15.01,15.34,15.67,16.01,16.34,17.67,18.01,18.34,18.67,19.01,19.34,19.67,20.01,20.34,20.67,21.01,21.34,21.67,22.34,22.67,23.01,23.34,24.01,24.34,24.68,25.01,25.34,25.68,26.01,26.34,26.68,27.01,27.34,27.68,28.01,28.34,28.68,29.01,29.34,29.68,30.01,30.34,30.68,31.34,31.68,32.01,33.01,33.34,33.68,34.34,34.68,35.01,35.34,35.68,36.01,36.34,36.68,37.01,37.34,37.68,38.01,38.34,38.68,39.01,39.34,39.68,40.01,40.34,40.68,41.01,41.34,42.01,42.34,42.68,43.68,44.01,44.34,44.68,45.01,45.34,46.01,46.34,46.68,47.01,47.34,48.01,48.34,48.68,49.01,49.34,49.68,50.01,50.34,51.01,51.34,51.68,52.01,52.34,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
